index	level before	level after	step	dwell before	dwell after	predicted error	measured error
1797.0	69.39675300082516	67.5233175156441	-1.8734354851810622	8.0	2.0	1.0553260593805034	0.6098719809379135
1799.0	67.5233175156441	71.55563705100454	4.032319535360443	2.0	12.0	1.0195418344369573	0.4673842071883047
1811.0	71.55563705100454	72.90798369076028	1.352346639755737	12.0	9.0	0.5886327525622622	0.7270566429666837
1820.0	72.90798369076028	70.0013227839676	-2.9066609067926805	9.0	5.0	0.7445680813884253	0.8070382700346728
1825.0	70.0013227839676	72.09857467356863	2.09725188960104	5.0	6.0	0.8083182214180551	0.6853341563993867
1831.0	72.09857467356863	72.83076711199948	0.7321924384308431	6.0	8.0	0.7209249448337449	0.37873456009189205
1839.0	72.83076711199948	71.14561275169778	-1.685154360301695	8.0	10.0	0.6331956356283021	0.39803092381751326
1849.0	71.14561275169778	73.38618926071567	2.2405765090178846	10.0	8.0	0.6331956356283021	0.421122993351233
1857.0	73.38618926071567	70.92313850521225	-2.463050755503417	8.0	12.0	0.6092927844661606	0.5019333920770751
1869.0	70.92313850521225	72.74129825508828	1.8181597498760311	12.0	9.0	0.5886327525622622	0.399109187097192
1878.0	72.74129825508828	71.57817465572533	-1.1631235993629474	9.0	11.0	0.5999900582631115	0.36462086090188484
1889.0	71.57817465572533	72.50573382634505	0.9275591706197162	11.0	10.0	0.5832569983838775	0.2840943371279633
1899.0	72.50573382634505	76.33394664725353	3.828212820908476	10.0	6.0	0.6893360953984891	0.21160789446235925
1905.0	76.33394664725353	74.80657811384468	-1.527368533408847	6.0	4.0	0.8616701192481113	0.4688804953624164
1909.0	74.80657811384468	77.16531781506053	2.3587397012158533	4.0	10.0	0.7897337091072191	0.46188521232339214
1919.0	77.16531781506053	75.79413281042088	-1.3711850046396563	10.0	2.0	1.0340041430977336	0.45846989895057183
1921.0	75.79413281042088	74.56346471890699	-1.2306680915138912	2.0	8.0	1.0553260593805034	0.2532983738340352
1929.0	74.56346471890699	76.83874018141753	2.2752754625105496	8.0	10.0	0.6331956356283021	0.37060594343691267
1939.0	76.83874018141753	74.74981574253616	-2.088924438881378	10.0	10.0	0.5969825703606648	0.3377012527098596
1949.0	74.74981574253616	76.64052868768337	1.8907129451472144	10.0	10.0	0.5969825703606648	0.42102692283502674
1959.0	76.64052868768337	74.70460639650418	-1.935922291179196	10.0	10.0	0.5969825703606648	0.493660703519124
1969.0	74.70460639650418	76.13707164523112	1.4324652487269418	10.0	4.0	0.7897337091072191	0.6553569605753193
1973.0	76.13707164523112	76.90037572593188	0.7633040807007632	4.0	6.0	0.8616701192481113	0.4135642874247797
1979.0	76.90037572593188	74.75669368209101	-2.143682043840869	6.0	10.0	0.6893360953984891	0.4632491726419331
1989.0	74.75669368209101	76.09602706042767	1.3393333783366614	10.0	2.0	1.0340041430977336	0.9252482991970709
1991.0	76.09602706042767	76.83411351553315	0.7380864551054742	2.0	8.0	1.0553260593805034	0.33933697148764047
1999.0	76.83411351553315	78.22375145124548	1.3896379357123294	8.0	5.0	0.761006443885952	0.6784377247404463
2004.0	78.22375145124548	80.56736196914514	2.3436105178996627	5.0	3.0	0.974868455145857	0.7129469181799796
2007.0	80.56736196914514	78.94711160306315	-1.62025036608199	3.0	2.0	1.2185855689323213	0.4805822949622578
2009.0	78.94711160306315	80.88718851665946	1.9400769135963145	2.0	10.0	1.0340041430977336	0.341119258898475
2019.0	80.88718851665946	78.75988866813485	-2.127299848524615	10.0	10.0	0.5969825703606648	0.5306424658288852
2029.0	78.75988866813485	80.80153896801622	2.0416502998813684	10.0	10.0	0.5969825703606648	0.502208929040726
2039.0	80.80153896801622	79.34874101846427	-1.4527979495519503	10.0	10.0	0.5969825703606648	0.3814427808890163
2049.0	79.34874101846427	81.22966066731571	1.880919648851446	10.0	11.0	0.5832569983838775	0.4035400434918364
2060.0	81.22966066731571	78.90325038194688	-2.326410285368837	11.0	10.0	0.5832569983838775	0.4983858042744848
2070.0	78.90325038194688	81.56578425059307	2.662533868646193	10.0	9.0	0.6133412860432824	0.6887184808667449
2079.0	81.56578425059307	78.60887621257291	-2.95690803802016	9.0	10.0	0.6133412860432824	0.7223148442040818
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
