IndexStep,TimeStep,LevelBefore,LevelAfter,StepSize,DwellTimeStepBefore,DwellTimeStepAfter,StepError
9671,9671,0.6339975,0.478317564102564,-0.155679935897436,4,78,0.0547244817792772
9749,9749,0.478317564102564,0.741413863636364,0.263096299533799,78,44,0.0211615218056912
9793,9793,0.741413863636364,1.006324375,0.264910511363637,44,32,0.0341156731968468
9825,9825,1.006324375,0.728451470588235,-0.277872904411765,32,34,0.033460891884348
9859,9859,0.728451470588235,0.490251097560976,-0.23820037302726,34,82,0.0210076042581668
9941,9941,0.490251097560976,0.578613793103448,0.0883626955424726,82,29,0.0222614277740746
9970,9970,0.578613793103448,0.368868269230769,-0.209745523872679,29,52,0.0207114951877731
10022,10022,0.368868269230769,0.643839130434783,0.274970861204013,52,23,0.0223249135700524
10045,10045,0.643839130434783,0.321216666666667,-0.322622463768116,23,3,0.0379483520870821
10048,10048,0.321216666666667,0.4276225,0.106405833333333,3,44,0.0349506303102682
10092,10092,0.4276225,0.665932,0.2383095,44,5,0.0435083726498773
10097,10097,0.665932,0.411472857142857,-0.254459142857143,5,7,0.0575275601784191
10104,10104,0.411472857142857,0.709915,0.298442142857143,7,4,0.0476262991502416
10108,10108,0.709915,0.428598684210526,-0.281316315789474,4,190,0.0266857802979593
10298,10298,0.428598684210526,0.539528551724138,0.110929867513612,190,145,0.011107373055863
10443,10443,0.539528551724138,0.515453875338754,-0.0240746763853845,145,369,0.0110856483864456
10812,10812,0.515453875338754,0.47651175,-0.0389421253387532,369,160,0.010611734753698
10972,10972,0.47651175,0.324452777777778,-0.152058972222223,160,18,0.0287485772569154
10990,10990,0.324452777777778,0.695894444444444,0.371441666666667,18,9,0.0494183295233973
10999,10999,0.695894444444444,0.338254285714286,-0.357640158730159,9,7,0.0440061373436741
11006,11006,0.338254285714286,0.576295,0.238040714285714,7,2,0.239673966208746
11008,11008,0.576295,0.683584642857143,0.107289642857143,2,28,0.240125633779205
11036,11036,0.683584642857143,0.320877222222222,-0.362707420634921,28,18,0.0395807815892077
11054,11054,0.320877222222222,0.630452544642857,0.309575322420635,18,224,0.0338657014292835
11278,11278,0.630452544642857,0.329526392523364,-0.300926152119492,224,535,0.00827421431605217
11813,11813,0.329526392523364,0.468673928571429,0.139147536048064,535,28,0.0195132174576637
11841,11841,0.468673928571429,0.294147777777778,-0.174526150793651,28,9,0.0334665264179372
11850,11850,0.294147777777778,0.690858461538461,0.396710683760684,9,13,0.0367840909288222
11863,11863,0.690858461538461,0.411769423868313,-0.279089037670149,13,243,0.0250370061137872
12106,12106,0.411769423868313,0.373650103092783,-0.0381193207755293,243,97,0.0110972544987477
12203,12203,0.373650103092783,0.50984,0.136189896907217,97,12,0.027223867812675
12215,12215,0.50984,0.468549738219895,-0.0412902617801049,12,191,0.0267697925403869
12406,12406,0.468549738219895,0.36766,-0.100889738219895,191,2,0.0363453263043614
12408,12408,0.36766,0.439489642857143,0.0718296428571428,2,56,0.0385891809545625
12464,12464,0.439489642857143,0.667004090909091,0.227514448051948,56,44,0.0221881893946334
12508,12508,0.667004090909091,0.512254036697248,-0.154750054211843,44,109,0.0221920232192559
12617,12617,0.512254036697248,1.096125,0.583870963302752,109,4,0.050041622003047
12621,12621,1.096125,0.54553,-0.550595,4,5,0.0564659846279156
12626,12626,0.54553,0.505665523809524,-0.0398644761904761,5,210,0.0314031522025467
12836,12836,0.505665523809524,0.417465714285714,-0.0881998095238097,210,7,0.0306547241416701
12843,12843,0.417465714285714,1.02056819444444,0.60310248015873,7,72,0.0305309877395649
12915,12915,1.02056819444444,0.664603333333333,-0.355964861111111,72,6,0.0387310367300652
12921,12921,0.664603333333333,0.541574,-0.123029333333333,6,15,0.0409618827444278
12936,12936,0.541574,0.385141666666667,-0.156432333333334,15,18,0.0336712817521252
12954,12954,0.385141666666667,0.558704615384615,0.173562948717949,18,13,0.0418305271530124
12967,12967,0.558704615384615,0.384363364485981,-0.174341250898634,13,107,0.0314925896731311
13074,13074,0.384363364485981,0.601105357142857,0.216741992656876,107,28,0.0244788983417769
13102,13102,0.601105357142857,0.382439285714286,-0.218666071428572,28,42,0.03026167496023
13144,13144,0.382439285714286,0.4722415,0.0898022142857143,42,80,0.0239805070657312
13224,13224,0.4722415,0.637288,0.1650465,80,35,0.0227433023353332
13259,13259,0.637288,0.514044285714286,-0.123243714285714,35,21,0.0345064700749354
13280,13280,0.514044285714286,0.661774285714286,0.14773,21,7,0.0682881997774399
13287,13287,0.661774285714286,0.511892590361446,-0.14988169535284,7,166,0.0628721263183838
13453,13453,0.511892590361446,0.679358,0.167465409638554,166,5,0.0496388406952007
13458,13458,0.679358,0.347722727272727,-0.331635272727273,5,22,0.0536183907992328
13480,13480,0.347722727272727,0.427607073170732,0.0798843458980045,22,41,0.032450664646787
13521,13521,0.427607073170732,0.466509306930693,0.0389022337599615,41,101,0.0244919886521974
13622,13622,0.466509306930693,0.561963484848485,0.0954541779177914,101,66,0.0133273364229641
13688,13688,0.561963484848485,0.684965,0.123001515151515,66,2,0.286965721486227
13690,13690,0.684965,0.479280879120879,-0.205684120879121,2,91,0.286849390246308
13781,13781,0.479280879120879,0.342858115942029,-0.13642276317885,91,69,0.0117425485209018
13850,13850,0.342858115942029,0.671679240506329,0.3288211245643,69,79,0.0168727212313846
13929,13929,0.671679240506329,0.340853,-0.330826240506329,79,110,0.0170169348967093
14039,14039,0.340853,0.586584583333333,0.245731583333333,110,24,0.0243149637735344
14063,14063,0.586584583333333,0.702042100840336,0.115457517507003,24,119,0.0245000089174887
14182,14182,0.702042100840336,0.495347352941176,-0.20669474789916,119,374,0.0105335479280768
14556,14556,0.495347352941176,0.462630134228188,-0.0327172187129881,374,149,0.00914670808735672
14705,14705,0.462630134228188,0.63588,0.173249865771812,149,2,0.0168536234425954
14707,14707,0.63588,0.544701826086957,-0.0911781739130434,2,115,0.0183818678585706
14822,14822,0.544701826086957,0.90285724137931,0.358155415292354,115,29,0.0406041025476558
14851,14851,0.90285724137931,0.535947692307692,-0.366909549071618,29,52,0.0417491516167893
14903,14903,0.535947692307692,0.9104336,0.374485907692308,52,25,0.0406181455201703
14928,14928,0.9104336,0.5446816,-0.365752,25,25,0.04491399132505
14953,14953,0.5446816,0.937839333333333,0.393157733333333,25,15,0.0418423591570468
14968,14968,0.937839333333333,0.522837037037037,-0.415002296296297,15,108,0.0356168765512852
15076,15076,0.522837037037037,0.912932777777778,0.390095740740741,108,18,0.0305929374313273
15094,15094,0.912932777777778,0.61513,-0.297802777777778,18,2,0.0602332307866257
15096,15096,0.61513,0.693363,0.078233,2,70,0.0542015266962753
15166,15166,0.693363,0.491462537313433,-0.201900462686567,70,67,0.0196695030417657
15233,15233,0.491462537313433,0.41651,-0.0749525373134328,67,7,0.0333233695544868
15240,15240,0.41651,0.467240493562231,0.0507304935622315,7,466,0.030072047652348
15706,15706,0.467240493562231,0.507093461538462,0.0398529679762302,466,52,0.014825188700986
15758,15758,0.507093461538462,0.613659310344828,0.106565848806366,52,29,0.0237727964294941
15787,15787,0.613659310344828,0.48237,-0.131289310344828,29,17,0.0337684902117916
15804,15804,0.48237,0.432843492063492,-0.0495265079365081,17,126,0.0289125201864214
15930,15930,0.432843492063492,0.3098875,-0.122955992063492,126,68,0.0143209019783377
15998,15998,0.3098875,0.24216,-0.0677275,68,3,0.0147599717420219
16001,16001,0.24216,0.73492,0.49276,3,8,0.0404612915548394
16009,16009,0.73492,0.2905675,-0.4443525,8,12,0.0569164948122243
16021,16021,0.2905675,0.597532823529412,0.306965323529412,12,85,0.0431547438477906
16106,16106,0.597532823529412,1.00486038461538,0.407327561085973,85,26,0.032137050133364
16132,16132,1.00486038461538,0.607597520661157,-0.397262863954228,26,121,0.0312127245304536
16253,16253,0.607597520661157,0.72393,0.116332479338843,121,2,0.0895901290906749
16255,16255,0.72393,0.345036785714286,-0.378893214285714,2,28,0.0911396861678033
16283,16283,0.345036785714286,0.496202,0.151165214285714,28,5,0.107476590059257
16288,16288,0.496202,0.394341927710844,-0.101860072289156,5,166,0.106340759590548
16454,16454,0.394341927710844,0.551958524590164,0.15761659687932,166,61,0.0201762337072264
16515,16515,0.551958524590164,0.474734545454545,-0.0772239791356182,61,11,0.0348006201414752
16526,16526,0.474734545454545,0.606806666666667,0.132072121212121,11,6,0.0886962861362402
16532,16532,0.606806666666667,0.471135789473684,-0.135670877192982,6,19,0.0841055705286818
16551,16551,0.471135789473684,0.6716568,0.200521010526316,19,25,0.0230754623746514
16576,16576,0.6716568,0.474665634920635,-0.196991165079365,25,126,0.022098733860616
16702,16702,0.474665634920635,0.779335,0.304669365079365,126,2,0.0112734326604191
16704,16704,0.779335,0.694220943396226,-0.0851140566037738,2,53,0.011480040188004
16757,16757,0.694220943396226,0.46186875,-0.232352193396226,53,8,0.0487757627205171
16765,16765,0.46186875,0.71087,0.24900125,8,8,0.0564394434564921
16773,16773,0.71087,0.471162777777778,-0.239707222222222,8,18,0.0384956850948288
16791,16791,0.471162777777778,0.56411625,0.0929534722222223,18,8,0.0701072147196111
16799,16799,0.56411625,0.512427647058824,-0.0516886029411761,8,136,0.0667210783162644
16935,16935,0.512427647058824,0.48513,-0.0272976470588239,136,5,0.0372534655493296
16940,16940,0.48513,0.422016263736264,-0.0631137362637362,5,91,0.0374401606515191
17031,17031,0.422016263736264,0.662010857142857,0.239994593406593,91,35,0.0234290613177525
17066,17066,0.662010857142857,0.482157188841202,-0.179853668301655,35,466,0.0217838229777521
17532,17532,0.482157188841202,0.963474,0.481316811158798,466,5,0.0415259697407128
17537,17537,0.963474,0.467785,-0.495689,5,4,0.0491535780047258
17541,17541,0.467785,0.413667559322034,-0.0541174406779658,4,295,0.0277384611856764
17836,17836,0.413667559322034,0.462861008403361,0.0491934490813271,295,119,0.0168741399073693
17955,17955,0.462861008403361,0.654043333333333,0.191182324929972,119,9,0.0510015179708493
17964,17964,0.654043333333333,0.481714285714286,-0.172329047619048,9,7,0.0912583318682418
17971,17971,0.481714285714286,0.711353333333333,0.229639047619048,7,6,0.0825008307017891
17977,17977,0.711353333333333,0.489971818181818,-0.221381515151515,6,44,0.0331621449845916
18021,18021,0.489971818181818,0.705148333333333,0.215176515151515,44,36,0.0236174751142607
18057,18057,0.705148333333333,0.521049512195122,-0.184098821138211,36,41,0.0246490596254208
18098,18098,0.521049512195122,0.33843,-0.182619512195122,41,23,0.0457900821865945
18121,18121,0.33843,0.644561,0.306131,23,10,0.0623846103255893
18131,18131,0.644561,0.314475,-0.330086,10,10,0.0590264169635559
18141,18141,0.314475,0.591211818181818,0.276736818181818,10,11,0.0565647926556143
18152,18152,0.591211818181818,0.3038925,-0.287319318181818,11,20,0.0453937880911717
18172,18172,0.3038925,0.503892142857143,0.199999642857143,20,14,0.0453393790949557
18186,18186,0.503892142857143,0.679424901960785,0.175532759103642,14,51,0.0446999677583287
18237,18237,0.679424901960785,0.518931428571429,-0.160493473389356,51,7,0.0305645407274898
18244,18244,0.518931428571429,0.680065714285714,0.161134285714286,7,7,0.0949080594987756
18251,18251,0.680065714285714,0.760408,0.0803422857142859,7,10,0.0944903088300738
18261,18261,0.760408,0.59914,-0.161268,10,2,0.0290275338715962
18263,18263,0.59914,0.455771666666667,-0.143368333333333,2,42,0.0206776744606229
18305,18305,0.455771666666667,0.714285833333333,0.258514166666667,42,12,0.0406446359306844
18317,18317,0.714285833333333,0.481697777777778,-0.232588055555556,12,36,0.0408997567271188
18353,18353,0.481697777777778,0.7435725,0.261874722222222,36,4,0.0553247682612931
18357,18357,0.7435725,0.4532723,-0.2903002,4,200,0.0534292593052916
18557,18557,0.4532723,0.87523,0.4219577,200,2,0.39681489747519
18559,18559,0.87523,0.477492307692307,-0.397737692307693,2,39,0.397106666426147
18598,18598,0.477492307692307,0.419213406593407,-0.0582789010989008,39,273,0.0183543989257094
18871,18871,0.419213406593407,0.519577777777778,0.100364371184371,273,18,0.0292305497497898
18889,18889,0.519577777777778,0.633067142857143,0.113489365079365,18,7,0.0712474484292707
18896,18896,0.633067142857143,0.975043125,0.341975982142857,7,16,0.0760546936174183
18912,18912,0.975043125,0.4494636,-0.525579525,16,25,0.045292645527751
18937,18937,0.4494636,0.602955,0.1534914,25,2,0.338301179907057
18939,18939,0.602955,0.350993333333333,-0.251961666666667,2,33,0.338046426924714
18972,18972,0.350993333333333,0.727272,0.376278666666667,33,5,0.047086510515918
18977,18977,0.727272,0.339926875,-0.387345125,5,16,0.0477482902143714
18993,18993,0.339926875,0.72026,0.380333125,16,6,0.0590475519311555
18999,18999,0.72026,0.340720972222222,-0.379539027777778,6,144,0.0558762259604939
19143,19143,0.340720972222222,0.722351739130435,0.381630766908213,144,23,0.0235393644080552
19166,19166,0.722351739130435,0.366626060606061,-0.355725678524374,23,33,0.02773122641254
19199,19199,0.366626060606061,0.550005625,0.183379564393939,33,16,0.024610812104148
19215,19215,0.550005625,0.481438787878788,-0.0685668371212122,16,66,0.0223041708720649
19281,19281,0.481438787878788,0.548295769230769,0.0668569813519815,66,26,0.0282071223846538
19307,19307,0.548295769230769,0.410378,-0.137917769230769,26,5,0.0446471266805424
19312,19312,0.410378,0.692788571428572,0.282410571428572,5,7,0.0603181005398437
19319,19319,0.692788571428572,0.545969433962264,-0.146819137466307,7,53,0.0526025197235587
19372,19372,0.545969433962264,0.429570099009901,-0.116399334952363,53,101,0.0278195927947367
19473,19473,0.429570099009901,0.357079166666667,-0.0724909323432346,101,12,0.042840614738902
19485,19485,0.357079166666667,0.66103425,0.303955083333333,12,40,0.042852125915688
19525,19525,0.66103425,0.38357875,-0.2774555,40,16,0.0323093753566345
19541,19541,0.38357875,0.663885714285714,0.280306964285714,16,14,0.0428004409268049
19555,19555,0.663885714285714,0.393292727272727,-0.270592987012987,14,11,0.0465756677051708
19566,19566,0.393292727272727,0.473565934065934,0.080273206793207,11,91,0.0356634197720056
19657,19657,0.473565934065934,0.5090788,0.035512865934066,91,50,0.023425250270341
19707,19707,0.5090788,0.793616666666667,0.284537866666666,50,3,0.134476384456188
19710,19710,0.793616666666667,0.4228375,-0.370779166666667,3,12,0.142379736778806
19722,19722,0.4228375,0.966255,0.5434175,12,2,0.0940856944532886
